 Easting,Northing,Depth,Layer,CompartmentID,Compartment,CompartmentNeighbours,CompartmentNode,CompartmentNodes
   569500.00,  6795750.00,     -315.23,       1,       1,       1,       0,   14409,   35669,
   569500.00,  6795750.00,     -460.67,       2,       2,       1,       0,   50078,   35669,
   569500.00,  6795750.00,     -460.67,       3,       3,       1,       0,   85747,   35669,
   569500.00,  6795750.00,     -601.31,       4,       4,       1,       0,  121416,   35669,
   569500.00,  6795750.00,     -880.16,       5,       5,       1,       0,  157085,   35669,
   569500.00,  6795750.00,     -880.16,       6,       6,       1,       0,  192754,   35669,
   569500.00,  6795750.00,     -880.16,       7,       7,       1,       0,  228423,   35669,
   569500.00,  6795750.00,     -921.03,       8,       8,       1,       0,  264092,   35669,
   569500.00,  6795750.00,    -1292.98,       9,       9,       1,       0,  299761,   35669,
   569500.00,  6795750.00,    -1617.98,      10,      10,       1,       0,  335430,   35669,
   569500.00,  6795750.00,    -1617.98,      11,      11,       1,       0,  371099,   35669,
