Depths,Vsh,Age,
  0.000000E+00, 0.000000E+00, 0.000000E+00,
 -0.100000E+03, 0.950000E+00, 0.100000E-07,
 -0.200000E+03, 0.950000E+00, 0.500100E+01,
 -0.300000E+03, 0.500000E-01, 0.550010E+02,
 -0.400000E+03, 0.950000E+00, 0.650010E+02,
 -0.500000E+03, 0.950000E+00, 0.100001E+03,
 -0.600000E+03, 0.000000E+00, 0.125001E+03,
 -0.700000E+03, 0.950000E+00, 0.142001E+03,
 -0.800000E+03, 0.750000E+00, 0.143001E+03,
 -0.900000E+03, 0.500000E-01, 0.159001E+03,
 -0.100000E+04, 0.950000E+00, 0.191501E+03,
